freq: 0.1
0 0 (-8.28147133502779e-05-2.015376593316707e-07j)
0 1 (-0.0046580841611680536-1.1413696334413913e-05j)
0 2 0j
0 3 0j
0 4 0j
1 0 (-0.0046580841760791945-1.141369624588357e-05j)
1 1 (-0.2638014222564837-0.0006468154382379j)
1 2 0j
1 3 0j
1 4 0j
2 0 0j
2 1 0j
2 2 (-7.00772763933058-0.05093994155800291j)
2 3 0j
2 4 0j
3 0 0j
3 1 0j
3 2 0j
3 3 (-7.007727639330754-0.050939941558002536j)
3 4 0j
4 0 0j
4 1 0j
4 2 0j
4 3 0j
4 4 (-7.007727639330581-0.0509399415580037j)
***************
freq: 0.2
0 0 (-0.00010951047997550688-3.536393881615139e-07j)
0 1 (-0.006170195757367729-2.0033518276547566e-05j)
0 2 0j
0 3 0j
0 4 0j
1 0 (-0.006170195757367516-2.003351813693889e-05j)
1 1 (-0.34949430892288647-0.0011353335278748932j)
1 2 0j
1 3 0j
1 4 0j
2 0 0j
2 1 0j
2 2 (-25.64418164343736-0.6826007813061121j)
2 3 0j
2 4 0j
3 0 0j
3 1 0j
3 2 0j
3 3 (-25.64418164343997-0.6826007813061294j)
3 4 0j
4 0 0j
4 1 0j
4 2 0j
4 3 0j
4 4 (-25.644181643426048-0.6826007813060061j)
***************
freq: 0.3
0 0 (-0.00016188164604954416-7.756607471863128e-07j)
0 1 (-0.009137394924204048-4.3950751244251795e-05j)
0 2 0j
0 3 0j
0 4 0j
1 0 (-0.009137394924204366-4.3950750974564473e-05j)
1 1 (-0.517652685098228-0.0024908178164336396j)
1 2 0j
1 3 0j
1 4 0j
2 0 0j
2 1 0j
2 2 (15.438380188204613-0.2472846073547483j)
2 3 0j
2 4 0j
3 0 0j
3 1 0j
3 2 0j
3 3 (15.438380188204754-0.24728460735473892j)
3 4 0j
4 0 0j
4 1 0j
4 2 0j
4 3 0j
4 4 (15.43838018820665-0.24728460735475244j)
***************
