i,j,G
0,0,-0.0001280217-0.0000004895j
0,1,+0.0061700823+0.0000200331j
0,2,-0.0000000218-0.0000000006j
0,3,-0.0000000053-0.0000000002j
0,4,-0.0000000218-0.0000000006j
1,0,+0.0072237973+0.0000277506j
1,1,-0.3494800752-0.0011352856j
1,2,+0.0000012622+0.0000000371j
1,3,+0.0000002881+0.0000000092j
1,4,+0.0000012622+0.0000000371j
2,0,+0.0000006135+0.0000000002j
2,1,+0.0000012192+0.0000000048j
2,2,-19.1353076565-0.4964086528j
2,3,+0.0000000000+0.0000000000j
2,4,-0.0000000000+0.0000000000j
3,0,+0.0000005863+0.0000000002j
3,1,+0.0000008253+0.0000000032j
3,2,+0.0000004612+0.0000000135j
3,3,-22.2854667870-0.5857971416j
3,4,+0.0000004612+0.0000000135j
4,0,+0.0000005692+0.0000000002j
4,1,+0.0000004969+0.0000000019j
4,2,+0.0000000000-0.0000000000j
4,3,+0.0000000000+0.0000000000j
4,4,-25.6399583461-0.6823749282j
