freq: -0.3
0 0 (0.23759824540698826-0.0004412805945402082j)
0 1 (-0.5722807259523107+0.12805764708135595j)
0 2 0j
0 3 0j
0 4 0j
1 0 (-0.572280725950242+0.12805764708139405j)
1 1 (190.0968488777725-42.52369834215764j)
1 2 0j
1 3 0j
1 4 0j
2 0 0j
2 1 0j
2 2 (0.24290736987738165-0.0016448462759910242j)
2 3 0j
2 4 0j
3 0 0j
3 1 0j
3 2 0j
3 3 (0.24290736987738107-0.0016448462759910197j)
3 4 0j
4 0 0j
4 1 0j
4 2 0j
4 3 0j
4 4 (0.24290736987739014-0.0016448462759910277j)
***************
freq: -0.4
0 0 (0.24148824513178457-5.924994784165031e-05j)
0 1 (0.028315940480202334+0.00029437927529563145j)
0 2 0j
0 3 0j
0 4 0j
1 0 (0.028315940480208465+0.00029437927529567666j)
1 1 (-9.339824342875053-0.09776888606463266j)
1 2 0j
1 3 0j
1 4 0j
2 0 0j
2 1 0j
2 2 (0.7521144464779609-0.01577604195956207j)
2 3 0j
2 4 0j
3 0 0j
3 1 0j
3 2 0j
3 3 (0.752114446477869-0.015776041959561803j)
3 4 0j
4 0 0j
4 1 0j
4 2 0j
4 3 0j
4 4 (0.7521144464781365-0.01577604195956232j)
***************
freq: -0.5
0 0 (0.24751238836769743-6.15007066899385e-05j)
0 1 (0.01393711602620091+7.023651413496332e-05j)
0 2 0j
0 3 0j
0 4 0j
1 0 (0.013937116026201157+7.023651413496358e-05j)
1 1 (-4.563524701985227-0.02333930453821917j)
1 2 0j
1 3 0j
1 4 0j
2 0 0j
2 1 0j
2 2 (-0.6852882988941459-0.013096660903308693j)
2 3 0j
2 4 0j
3 0 0j
3 1 0j
3 2 0j
3 3 (-0.6852882988942315-0.01309666090330898j)
3 4 0j
4 0 0j
4 1 0j
4 2 0j
4 3 0j
4 4 (-0.685288298894134-0.013096660903309151j)
***************
