i,j,G
0,0,+0.2508029218-0.0000763839j
0,1,-0.0151589630-0.0000712029j
0,2,+0.0000000055-0.0000000000j
0,3,+0.0000000055-0.0000000000j
0,4,+0.0000000055-0.0000000000j
1,0,+0.0119963179-0.0000512729j
1,1,-4.5721407443-0.0234251684j
1,2,+0.0000010190-0.0000000005j
1,3,+0.0000010190-0.0000000005j
1,4,+0.0000010190-0.0000000005j
2,0,-0.0000002363+0.0000000010j
2,1,-0.0000001961+0.0000000001j
2,2,-0.6910288624-0.0133142567j
2,3,-0.0000001940+0.0000000001j
2,4,-0.0000001939+0.0000000001j
3,0,-0.0000002341+0.0000000010j
3,1,-0.0000001954+0.0000000001j
3,2,-0.0000001934+0.0000000001j
3,3,-0.6910348498-0.0133143742j
3,4,-0.0000001934+0.0000000001j
4,0,-0.0000002327+0.0000000010j
4,1,-0.0000001948+0.0000000001j
4,2,-0.0000001928+0.0000000001j
4,3,-0.0000001928+0.0000000001j
4,4,-0.6910408376-0.0133144918j
